"Death rate (weekly) of unvaccinated people - United States, by age","Death rate (weekly) of fully vaccinated people (without bivalent booster) - United States, by age"
0.09652821,0.0
0.019467877,0.0
0.0,0.0
0.07904275,0.0
0.039777398,0.0
0.019980619,0.0
0.020094477,0.0
0.020941379,0.0
0.020299792,0.0
0.06170473,0.0
0.02065846,0.0
0.020828664,0.0
0.021035556,0.0
0.0422174,0.0
0.042348567,0.0
0.042510014,0.0
0.08516257,0.0
0.0213456,0.0
0.106951006,0.0
0.042859674,0.0
0.021503212,0.0
0.02156537,0.0
0.021597078,0.0
0.02162552,0.0
0.02165154,0.0
0.0,0.3397062
0.07677123,0.0
0.038808774,0.0
0.05875537,0.0
0.0,0.021099152
0.039832313,0.0
0.060443535,0.0
0.04085689,0.0
0.0844819,0.0
0.06408349,0.019797534
0.04382797,0.0
0.10562096,0.018247027
0.043031704,0.05435402
0.06573112,0.0
0.11101118,0.017780345
0.022462986,0.035222758
0.06797117,0.0
0.022861809,0.0
0.02303752,0.0
0.023266278,0.0
0.07183029,0.0
0.047997717,0.0
0.024133982,0.0
0.048398457,0.016465386
0.024267858,0.016439611
0.048999228,0.0
0.02455944,0.0
0.07387434,0.0
0.04952816,0.0
0.049783755,0.0
0.024943057,0.0
0.0,0.016200203
0.075121306,0.0
0.025724018,0.0
0.05021119,0.0
0.025158983,0.0
0.025234934,0.0
0.025308218,0.0
0.07597588,0.017116034
0.0,0.01730157
0.025384752,0.0
0.050804444,0.0
0.050830875,0.0
0.025433147,0.0
0.025506089,0.0
0.025558343,0.0
0.252441,0.0
0.30659387,0.018170847
0.26874572,0.017895713
0.2090481,0.008833407
0.23248173,0.0
0.22432834,0.0
0.35667282,0.01716357
0.3943959,0.008517474
0.3211426,0.008456779
0.17988436,0.016799726
0.34225932,0.008354823
0.33699164,0.033187952
0.40107957,0.11538138
0.51933974,0.07801177
0.54078317,0.13192168
0.4558418,0.09258279
0.28375122,0.09200901
0.22675695,0.022883968
0.18032517,0.007591006
0.13315786,0.015101249
0.07303731,0.015026667
0.024466872,0.0
0.073707834,0.0
0.04932365,0.007430254
0.024754643,0.007411754
0.02483901,0.007394869
0.012459495,0.014762409
0.07499721,0.0
0.012537163,0.0
0.012571909,0.0
0.025210904,0.007340408
0.050556038,0.007331657
0.012674388,0.0
